컨텐츠아이디;캠핑장이름;인허가일자;주소1;주소2;위도;경도;캠핑장종류;도;시군구
10;(주)아웃오브파크;2017-09-18;강원도 춘천시 남면 가옹개길 52-9;;37.7278127;127.5112565;카라반;강원도;춘천시
100000;파크킹;2021-07-31;경북 김천시 어모면 은림로 62-11;;36.1795215;128.1270051;자동차야영장;경상북도;김천시
100001;봉즈살롱;2021-07-30;강원 횡성군 서원면 서원서로102번길 3-18;;37.48049694689978;127.8240705696189;자동차야영장;강원도;횡성군
100002;힐링피아 카라반 글램핑 풀 캠핑장;2021-05-10;경기 가평군 설악면 유명산길 61-75;;37.5978864;127.4947241;일반야영장;경기도;가평군
100003;우니메이카 태안점;2021-07-21;충남 태안군 소원면 산간이길 158-24;;36.7796484;126.1890914;자동차야영장;충청남도;태안군
100004;뇌운계곡글램핑;2021-07-30;강원 평창군 평창읍 뇌운계곡로 659-6;;37.4156933;128.382096;글램핑;강원도;평창군
100005;충주 비내캠프 체험학습장;2021-07-30;충북 충주시 앙성면 학교말2길 50;;37.1629594;127.7519787;자동차야영장;충청북도;충주시
100006;솔비치캠핑장;2021-07-30;충남 태안군 남면 몽산포길 63-23;;36.671601;126.2896689;일반야영장;충청남도;태안군
100007;가온오토캠핑장;2021-07-30;경북 포항시 북구 죽장면 새마을로 3351;;36.1473337;129.0777706;일반야영장;경상북도;포항시
100008;림스 글램핑;2021-07-29;전남 강진군 강진읍 해강로 1038-30;;34.6030215;126.7367324;일반야영장,카라반,글램핑;전라남도;강진군
100009;호미곶유니의바다 카라반캠핑장;2021-07-29;경북 포항시 남구 호미곶면 해맞이로46번길 134;;36.0588372;129.5751877;카라반;경상북도;포항시
100010;예손캠핑장;2021-07-29;경북 고령군 덕곡면 가륜장길 20-7;;35.7931527;128.2141499;일반야영장;경상북도;고령군
100011;(주)웨이브파크;2021-07-28;경기 시흥시 거북섬둘레길 42 (정왕동);;37.3241008;126.6806875;카라반;경기도;시흥시
100012;포에스카라반파크;2021-07-28;경북 포항시 남구 구룡포읍 동해안로 4166-17;;35.9406112;129.530477;일반야영장;경상북도;포항시
100013;약수동산;2021-07-27;경기 양평군 옥천면 약수동산길 86;;37.50762979396307;127.45514704825574;일반야영장;경기도;양평군
100014;학암포글램핑;2021-07-27;충청남도 태안군 원북면 방갈리 515-26 ;;36.89812817760888;126.2102014661134;글램핑;충청남도;태안군
100015;더예감스테이;2021-07-27;경남 산청군 단성면 호암로 702-22;;35.3212687;127.9031091;일반야영장;경상남도;산청군
100016;캠프더포레;2021-07-27;경남 함양군 서상면 부전계곡로 245;;35.6493103;127.671413;일반야영장;경상남도;함양군
100017;태그하우스;2021-07-26;인천 강화군 길상면 동검길154번길 24-19;;37.5916047;126.5069619;카라반;인천시;강화군
100019;양지뜰캠핑장;2021-07-26;전북 무주군 설천면 보안길 88;;35.9076467;127.7680715;자동차야영장;전라북도;무주군
100020;우리들캠핑장;2021-07-25;강원 양양군 현북면 법수치길 1168-2;;37.8967836;128.6148794;일반야영장,글램핑;강원도;양양군
100021;밤벌캠핑장;2021-07-23;경기 가평군 설악면 어비산길 15-23;;37.6012926;127.4947099;일반야영장;경기도;가평군
100022;청춘캠핑장;2021-07-23;경기 가평군 가평읍 호반로 1700;;37.7467558;127.5124645;카라반,글램핑;경기도;가평군
100023;단아한;2021-07-23;전북 순창군 팔덕면 산동신흥길 6;;35.3894687;127.0925441;자동차야영장;전라북도;순창군
100025;고래불해수욕장(병곡지구) 야영장;2022-07-13;경상북도 영덕군 병곡면 병곡리 58-5 ;;36.59681505402054;129.40958851964086;일반야영장;경상북도;영덕군
100026;다시캠핑장;2021-07-22;경북 고령군 덕곡면 덕운로 1043-64;;35.7989783;128.1962787;자동차야영장;경상북도;고령군
100027;산내들캠프;2021-07-20;경북 경주시 산내면 대현길 405;;35.6996961;129.077838;일반야영장;경상북도;경주시
100028;고래불해수욕장(영리지구) 야영장;2023-07-13;경상북도 영덕군 병곡면 영리 119-17 ;;36.5939422;129.4092523;일반야영장;경상북도;영덕군
100029;빗소리야영장;2021-07-20;경북 청도군 각북면 삼평1길 90-11;;35.6679831;128.5940172;일반야영장;경상북도;청도군
100031;화성시 매송 오토캠핑장;2021-07-20;경기도 화성시 매송면 어천리 164 ;;37.25773422847022;126.91615647964286;일반야영장;경기도;화성시
100032;캠핑느루;2021-07-19;강원 고성군 토성면 미시령폭포길 64;;38.2090526;128.4819689;자동차야영장;강원도;고성군
100033;자작도캠핑장;2021-07-19;강원 고성군 죽왕면 삼포해변길 94;;38.3116696;128.5386255;자동차야영장;강원도;고성군
100035;오렌지캠프;2021-07-16;충북 보은군 속리산면 속리산로 995-35;;36.5240131;127.7877966;일반야영장;충청북도;보은군
100036;웰니스 권역 야영장;2021-07-16;충남 공주시 우성면 무성산로 296;;36.5010715;127.0888462;자동차야영장;충청남도;공주시
100037;캠프고일리;2021-07-16;경기 포천시 신북면 포천로2337번길 38-29;;37.9617314;127.1889864;일반야영장;경기도;포천시
100038;하늘아래 야영장;2021-07-15;대구 수성구 진밭길 420 (범물동);;35.7981105;128.6735804;카라반;대구시;수성구
100039;명파리해변야영장;2021-07-15;강원 고성군 현내면 금강산로 819-3;;38.5392344;128.4013433;일반야영장;강원도;고성군
